Id,MAT,TDR,TSN,MTWM,MTCM,TAR,MTWQ,MTDQ,MTAQ,MTCQ,MAP,PWM,PDM,PSN,PWQ,PDQ,PAQ,PCQ,AET,PET,NPP,ME,RE,CVE
743,23.3260002,16.5034008,407.2730103,35.702301,7.15693,28.5452995,26.7138996,17.7371998,27.1886005,17.7371998,327.3640137,83.289299,0,98.9570007,195.197998,1.89256,113.3720016,1.90083,306.9779968,1968.819946,278,939,67,1.72
744,23.3349991,16.3486996,399.5239868,35.5971985,7.4597998,28.1373997,26.6788006,17.8528004,27.0884991,17.8518009,318.1409912,78.9669037,0,97.9412994,188.0740051,2,110.3550034,2.12397,303.3919983,1945.680054,287,944,106,2.48
745,22.5170002,15.8042002,388.9400024,34.4948006,7.0920701,27.4027996,25.7310009,17.1933002,26.1506004,17.1798992,320.0830078,72.6941986,0,95.6848984,186.9830017,2,115.512001,3.23141,302.5100098,1905.069946,333,991,119,2.76
746,21.8561993,15.6850004,395.2909851,33.6053009,6.3695502,27.2357006,25.1872005,16.4388008,25.5571003,16.4356995,351.5450134,77.1322021,0.297521,95.5699997,205.9089966,2.7190101,151.0740051,3.42149,312.8529968,1861.329956,368,1016,155,3.59
747,21.1567993,15.5239,403.6919861,32.7398987,5.5156999,27.2241993,24.6007004,15.6068001,24.9393005,15.6068001,383.9089966,81.6445999,0.231405,95.3675003,225.3549957,3.23141,185.7109985,3.2562001,342.0050049,1800.689941,443,1062,194,4.01
748,20.9822998,15.1139002,406.5,32.0460014,5.3730602,26.6728992,24.5251007,15.3837996,24.8036003,15.3837996,409.256012,88.0578995,0.826446,95.6563034,242.1569977,3.8264501,218.7850037,3.8264501,366.019989,1753.160034,532,1052,157,3.08
749,21.4008007,14.5261002,399.7999878,31.8255997,6.1776199,25.6480007,24.9265003,15.8829002,25.1422005,15.8829002,405.0660095,91.5123978,0.85124,95.8740997,240.9920044,3.4132199,214.727005,3.4132199,379.3640137,1716,571,991,232,4.19
750,21.4752998,14.3417997,389.6470032,31.8183994,6.5411201,25.2772999,24.8586006,16.0855999,25.0643997,16.0855999,419.57901,97.2726974,0.413223,96.8347015,252.8679962,2.4132199,224.0740051,2.4132199,361.4500122,1739.880005,528,940,338,3.58
751,21.0746994,14.4211998,382.8970032,31.4899998,6.32833,25.1616993,24.3952007,15.7627001,24.5806007,15.7627001,405.4960022,88.6116028,0.991736,94.1850967,238.7019958,3.8429799,212.6529999,3.8429799,379.6809998,1712.859985,481,879,249,4.75
752,21.191,14.5319996,380.052002,31.4764004,6.4414201,25.0349007,24.5596008,15.9188004,24.7057991,15.9188004,401.9830017,82.5867996,1,91.9356003,230.0079956,4.7190099,209.5540009,4.7190099,377.1359863,1653.01001,460,825,438,7.24
