Id,MAT,TDR,TSN,MTWM,MTCM,TAR,MTWQ,MTDQ,MTAQ,MTCQ,MAP,PWM,PDM,PSN,PWQ,PDQ,PAQ,PCQ,AET,PET,NPP,ME,RE,CVE
863,24.0006008,10.3156004,56.2941017,30.8428993,18.2919006,12.5510998,23.5119991,24.3166008,24.7360001,23.3143997,1932.130005,222.2480011,60.142601,36.0811005,631.9689941,217.0099945,461.2309875,570.4299927,1198.040039,1292.290039,1333,663,387,8.71
864,23.8108006,10.3409004,58.9211006,30.5310001,18.1441994,12.3866997,23.2317009,24.2549,24.5230007,23.0587997,1828,207.5059967,59.8223,34.7542992,601.3880005,211.0449982,416.3349915,571.0209961,1236.920044,1346.959961,1438,824,823,7.75
865,22.5394993,10.2517004,63.3922997,29.1049995,16.9127998,12.1921997,21.9414005,23.0252991,23.2966003,21.7353001,1591.310059,190.3880005,51.9360008,35.0251007,534.6690063,185.3619995,327.4710083,515.9439697,1203.410034,1342.650024,1563,906,591,3.69
866,20.2861996,10.9176998,75.3828964,27.5100002,14.2194996,13.2904997,19.5853996,20.7726994,21.2462006,19.3889008,1363.849976,176.2070007,39.2190018,39.953701,500.355011,149.0809937,281.7000122,448.5450134,1099.030029,1325.150024,1504,1184,818,16.93
867,23.8134995,10.2723999,100.276001,30.9246006,16.8969002,14.0277004,22.8157005,24.5270004,24.9228992,22.6390991,1102.420044,144.522995,21.9668999,45.3759003,394.6010132,94.3037033,153.1300049,380.25,1031.910034,1558.02002,813,1239,1569,32.35
868,23.3936996,11.8414001,96.0761032,31.9174995,16.6397991,15.2777004,22.4778996,24.2992992,24.6837997,22.2956009,1248.98999,160.3059998,22.5949993,46.0755005,444.5270081,103.6139984,145.4029999,417.8309937,1138.410034,1564.040039,937,899,635,16.28
869,23.6931,12.5186005,104.9609985,32.8050995,16.7681999,16.0370007,22.8183994,24.7761002,25.1331997,22.4675999,1313.280029,185.5789948,18.6508007,51.4678001,480.3659973,98.6612015,139.8470001,438.2600098,1078.52002,1597.040039,928,1050,357,3.61
870,23.5499001,12.7665005,92.4964981,32.5192986,16.6373997,15.882,22.7112999,24.5076008,24.781601,22.4195995,1026.75,146.6199951,17.3449993,52.3946991,378.7980042,77.2354965,113.0080032,368.6340027,830.2630005,1595.579956,905,1111,859,7.8
871,21.9685993,12.4111996,67.4785995,29.9701996,15.0890999,14.8811998,21.5475998,22.4323006,22.8582993,21.1422005,738.8239746,113.1780014,14.4379997,54.6138992,284.9729919,63.5433998,135.8639984,269.4460144,830.2630005,1595.579956,698,1263,2193,17.51
872,25.8868008,13.7940998,58.5764999,33.8292999,18.1462994,15.6829996,26.5025005,25.9022007,26.6567993,25.2252998,380,71.4937973,10.2727003,59.2804985,161.901001,42.8904991,123.2710037,103.7089996,538.8430176,1720.98999,229,839,2183,37.45
873,24.1047001,12.5559998,74.4629974,31.6940994,16.6543007,15.0398998,24.927,23.3778992,25.0578995,23.1945992,349.1090088,81.064003,5.3533101,77.6302032,165.923996,31.2045002,138.9859924,36.460701,293.4549866,2008.839966,110,652,2718,49.68
874,25.2915001,11.5724001,89.4485016,32.7428017,18.0056992,14.7370996,26.1035995,24.2007008,26.4097996,24.1567993,324.5480042,93.7830963,0.82438,106.3050003,160.4190063,5.4896698,125.7440033,6.1570201,265.4299927,1834.119995,148,642,2447,44.8
875,26.6315994,11.2144003,102.8899994,34.5886993,19.5939999,14.9947004,27.4064999,25.3358002,27.9412003,25.3358002,318.644989,105.1650009,0.0475207,121.1689987,159.8159943,1.29545,76.9462967,1.29545,281.0929871,1856.640015,129,576,1371,36.23
876,27.3439007,11.1454,115.2939987,35.7575989,20.4624004,15.2952003,28.1509991,25.9479008,28.8591995,25.9479008,321.1919861,103.3529968,0.706612,118.0080032,160.9750061,3.58058,47.5186005,3.58058,296.2219849,1832.650024,92,394,323,14.25
877,27.3959999,10.7531004,126.7549973,35.8730011,20.7730007,15.1000004,28.2378006,25.9139996,29.0671005,25.8766003,346.8699951,98.2562027,2.25,108.9039993,165.5390015,9.1053696,49.4112015,9.4669399,303.9519958,1887.979981,123,410,583,19.64
878,27.7077999,11.4546003,142.1580048,36.8258018,20.6728001,16.1529999,28.6368999,26.030899,29.4911003,25.8892002,400.5289917,107.1100006,3.47521,106.8460007,187.3450012,17.3160992,136.5559998,18.6259995,322.8710022,1900.810059,172,308,514,23.94
879,27.8894997,12.1338997,142.9170074,37.5041008,20.3815002,17.1226006,29.0314999,27.8649006,29.6366997,25.9948006,481.3099976,126.4729996,2.8181801,105.0889969,232.8159943,24.7127991,156.9790039,36.5475006,370.9400024,1914.630005,205,240,651,45.95
880,27.2362003,10.6604996,121.0039978,35.6286011,20.7807007,14.8479996,27.7161999,28.0249996,28.6530991,25.6240997,478.1759949,125.5449982,0.704545,98.9642029,244.4440002,19.8491993,146.0789948,63.6507988,424.881012,1940.089966,255,238,518,31.18
881,23.6254997,8.6616497,66.1947021,29.4859009,18.8836994,10.6021996,23.3404999,23.9662991,24.4386005,22.7912998,1625.180054,297.82901,31.2231007,60.6329002,653.7230225,114.6760025,373.0639954,399.32901,976.0709839,1074.780029,1396,603,464,14.6
882,23.6152992,9.7071304,64.6149979,30.0132008,18.0140991,11.9991999,23.3934994,23.6303997,24.4841003,22.9433002,1611.209961,293.2359924,32.2252007,59.0345001,642.8369751,113.6669998,391.2170105,413.5740051,996.6400146,1095.160034,1405,666,288,6.82
883,23.6471996,10.717,65.5429993,30.5002003,17.3173008,13.1829996,23.4037991,23.4552002,24.5555992,23.0468998,1619.810059,275.4570007,32.1755981,54.6791992,630.4829712,119.2050018,506.8450012,444.9899902,1045.790039,1152.319946,1393,666,327,8.99
884,23.9559994,10.9015999,62.0477982,30.8225002,17.6079006,13.2145996,23.5937996,23.8542995,24.8036995,23.3017006,1619.51001,250.1759949,30.9069996,49.6502991,618.8619995,133.8079987,486.07901,480.1300049,1101.75,1223.089966,1328,582,327,8.26
885,24.1418991,10.3708,61.3121986,30.8031006,18.1543007,12.6486998,23.6798992,24.1138,24.9545994,23.4766006,1600.26001,222.6589966,32.1632004,45.8647995,597.901001,137.1959991,438.75,511.0660095,1124.699951,1266.410034,1259,556,356,11.55
886,24.2047005,10.1716003,60.5993996,30.8139,18.2441006,12.5697002,23.8409996,24.0981998,25.0443001,23.6515007,1623.640015,215.6799927,33.4813995,45.0702019,607.5720215,138.7330017,428.4190063,529.2379761,1125.02002,1270.599976,1124,534,310,12.77
887,24.2830009,9.9495802,56.9804993,30.6763,18.3376999,12.3387003,24.0203991,24.1198997,25.0862007,23.7854996,1667.839966,212.2640076,34.6281013,44.6114998,626.0310059,144.8820038,438.0910034,367.6759949,1122.650024,1263.780029,930,461,228,7.84
888,24.5501003,10.0337,54.8708,31.1425991,18.5622005,12.5804005,24.2203999,24.4841995,25.3213005,24.0795994,1698.420044,209.1999969,43.2416992,40.338501,618.197998,168.5019989,398.644989,476.9750061,1128.930054,1262.719971,669,401,285,10.88
889,24.8435001,10.4639997,57.786499,31.8017006,18.6448002,13.1569004,24.4337997,24.8339005,25.6567993,24.3201008,1703.76001,207.121994,36.4318008,41.3047981,615.4069824,157.3739929,362.3120117,547.3239746,1101.650024,1264.180054,571,426,274,8.98
890,24.6574001,10.6234999,56.0877991,31.6793995,18.3834,13.2959995,24.2339993,24.6536999,25.4332008,24.1341,1739.660034,217.8139954,35.2024994,42.632,628.7930298,154.6450043,381.0910034,528.8779907,1108.099976,1268.170044,681,502,215,11.97
891,24.4682007,10.5902004,54.6624985,31.4724998,18.2175999,13.2549,24.0431004,24.5396004,25.2175007,23.8981991,1715,217.7480011,42.0247993,41.5962982,613.1669922,163.1340027,381.3259888,575.5479736,1141.01001,1276.390015,877,446,202,5.28
892,24.5477009,10.6681004,48.2615013,31.6096992,18.1044006,13.5052004,24.1567993,24.5795994,25.2164993,24.0270004,1711.420044,226.3639984,47.9938011,40.259201,607.6760254,174.8860016,356.3930054,559.7000122,1159.98999,1299.349976,876,534,243,12
893,24.7502995,10.5325003,37.6540985,31.5368004,18.4004993,13.1363001,24.4475994,24.6861,25.2605991,24.3920994,1708.689941,228.1340027,48.638401,39.8708992,598.78302,172.4029999,406.0480042,545.6380005,1172.810059,1311.359985,834,530,218,12.06
