Id,SR
799,71
800,61
801,51
802,51
803,61
804,69
805,73
806,74
807,69
808,59
809,47
810,38
811,37
812,41
813,41
814,40
815,40
816,42
817,42
818,41
819,43
820,42
821,43
822,43
823,37
824,46
825,45
826,43
827,47
828,47
829,47
830,50
831,62
832,69
833,64
834,57
835,54
836,59
837,68
838,67
839,61
840,60
841,51
842,42
843,37
844,33
845,41
846,41
847,41
848,40
849,40
850,41
851,41
852,40
853,43
854,41
855,44
856,45
857,45
858,46
859,46
860,45
861,46
862,46
863,50
864,59
865,66
866,66
867,70
868,58
869,55
870,54
871,58
872,56
873,54
874,50
875,44
876,38
877,36
878,34
879,38
880,39
881,41
882,41
883,42
884,43
885,44
886,46
887,46
888,54
889,53
890,55
891,56
892,47
893,49
894,47
895,62
896,64
897,64
898,67
899,67
900,66
901,69
902,62
903,59
904,55
905,56
906,56
907,48
908,46
909,44
910,41
911,38
912,34
913,32
914,37
915,35
916,32
917,46
918,45
919,44
920,53
921,54
922,54
923,58
924,57
925,60
926,60
927,60
928,61
929,64
930,64
931,66
932,64
933,66
934,69
935,67
936,65
937,64
938,64
939,60
940,58
941,57
942,59
943,55
944,55
945,53
946,47
947,40
948,35
949,34
950,35
951,39
952,38
953,32
954,34
955,47
956,48
957,50
958,52
959,47
960,49
961,48
962,50
963,49
964,55
965,58
966,53
967,54
968,59
969,61
970,59
971,59
972,59
973,60
974,57
975,56
976,51
977,51
978,51
979,53
980,56
981,56
982,61
983,59
984,50
985,50
986,43
987,41
988,36
989,36
990,35
991,33
992,36
993,34
994,50
995,46
996,41
997,42
998,41
999,43
1000,45
1001,48
1002,48
1003,50
1004,50
1005,49
1006,51
1007,54
1008,54
1009,55
1010,54
1011,55
1012,56
1013,52
1014,41
1015,40
1016,46
1017,46
1018,49
1019,49
1020,52
1021,55
1022,60
1023,56
1024,51
1025,51
1026,50
1027,41
1028,41
1029,37
1030,36
1031,36
1032,34
1033,29
1034,26
1035,42
1036,45
1037,45
1038,49
1039,42
1040,40
1041,39
1042,42
1043,45
1044,38
1045,42
1046,49
1047,49
1048,45
1049,38
1050,37
1051,39
1052,43
1053,44
1054,46
1055,46
1056,45
1057,48
1058,51
1059,53
1060,51
1061,51
1062,48
1063,49
1064,49
1065,47
1066,40
1067,38
1068,40
1069,45
1070,44
1071,44
1072,45
1073,50
1074,53
1075,51
1076,48
1077,49
1078,49
1079,51
1080,52
1081,45
1082,41
1083,38
1084,33
1085,31
1086,28
1087,28
1088,46
1089,51
1090,53
1091,50
1092,47
1093,44
1094,48
1095,51
1096,48
1097,47
1098,46
1099,44
1100,45
1101,45
1102,44
1103,44
1104,42
1105,42
1106,43
1107,43
1108,41
1109,43
1110,45
1111,45
1112,44
1113,43
1114,43
1115,43
1116,47
1117,48
1118,50
1119,52
1120,50
1121,51
1122,49
1123,46
1124,45
1125,42
1126,41
1127,42
1128,41
1129,44
1130,43
1131,40
1132,43
1133,47
1134,48
1135,46
1136,41
1137,44
1138,46
1139,52
1140,49
1141,47
1142,44
1143,41
1144,32
1145,29
1146,27
1147,28
1148,28
1149,51
1150,52
1151,53
1152,49
1153,43
1154,43
1155,46
1156,49
1157,48
1158,47
1159,44
1160,46
1161,46
1162,44
1163,43
1164,42
1165,40
1166,39
1167,40
1168,39
1169,38
1170,38
1171,39
1172,40
1173,43
1174,44
1175,43
1176,43
1177,43
1178,43
1179,44
1180,45
1181,47
1182,49
1183,52
1184,54
1185,52
1186,48
1187,46
1188,40
1189,38
1190,40
1191,40
1192,42
1193,39
1194,39
1195,38
1196,41
1197,46
1198,48
1199,42
1200,41
1201,43
1202,48
1203,51
1204,50
1205,48
1206,44
1207,43
1208,35
1209,32
1210,31
1211,30
1212,30
1213,55
1214,54
1215,47
1216,41
1217,40
1218,42
1219,43
1220,44
1221,42
1222,43
1223,41
1224,39
1225,37
1226,39
1227,37
1228,39
1229,42
1230,42
1231,39
1232,37
1233,37
1234,36
1235,38
1236,39
1237,40
1238,40
1239,41
1240,44
1241,43
1242,41
1243,41
1244,42
1245,44
1246,43
1247,47
1248,49
1249,47
1250,42
1251,41
1252,40
1253,38
1254,37
1255,37
1256,34
1257,36
1258,34
1259,39
1260,39
1261,38
1262,40
1263,41
1264,39
1265,41
1266,42
1267,40
1268,49
1269,49
1270,48
1271,45
1272,42
1273,32
1274,30
1275,30
1276,28
1277,53
1278,42
1279,43
1280,42
1281,40
1282,41
1283,41
1284,40
1285,40
1286,38
1287,37
1288,38
1289,38
1290,38
1291,40
1292,40
1293,38
1294,39
1295,35
1296,36
1297,40
1298,38
1299,40
1300,39
1301,39
1302,40
1303,41
1304,43
1305,43
1306,42
1307,42
1308,42
1309,36
1310,41
1311,39
1312,39
1313,38
1314,37
1315,35
1316,32
1317,31
1318,30
1319,30
1320,30
1321,29
1322,28
1323,26
1324,31
1325,32
1326,34
1327,42
1328,39
1329,39
1330,39
1331,36
1332,38
1333,43
1334,39
1335,49
1336,44
1337,42
1338,39
1339,39
1340,38
1341,38
1342,38
1343,36
1344,37
1345,36
1346,37
1347,40
1348,39
1349,39
1350,40
1351,40
1352,36
1353,36
1354,37
1355,37
1356,39
1357,38
1358,38
1359,37
1360,35
1361,37
1362,40
1363,42
1364,40
1365,37
1366,36
1367,32
1368,34
1369,32
1370,31
1371,32
1372,32
1373,29
1374,28
1375,29
1376,27
1377,24
1378,25
1379,26
1380,25
1381,24
1382,26
1383,31
1384,33
1385,42
1386,41
1387,43
1388,40
1389,37
1390,41
1391,41
1392,49
1393,46
1394,41
1395,39
1396,36
1397,34
1398,34
1399,35
1400,35
1401,38
1402,35
1403,34
1404,35
1405,37
1406,38
1407,39
1408,40
1409,39
1410,36
1411,36
1412,36
1413,37
1414,35
1415,35
1416,35
1417,34
1418,35
1419,35
1420,41
1421,42
1422,37
1423,31
1424,32
1425,31
1426,30
1427,31
1428,28
1429,30
1430,29
1431,27
1432,25
1433,24
1434,21
1435,21
1436,21
1437,22
1438,22
1439,22
1440,25
1441,27
1442,34
1443,42
1444,42
1445,45
1446,41
1447,39
1448,41
1449,39
1450,49
1451,47
1452,45
1453,37
1454,36
1455,35
1456,33
1457,34
1458,32
1459,31
1460,34
1461,34
1462,32
1463,33
1464,33
1465,35
1466,39
1467,39
1468,35
1469,36
1470,36
1471,36
1472,35
1473,34
1474,32
1475,35
1476,35
1477,34
1478,36
1479,35
1480,33
1481,34
1482,26
1483,24
1484,24
1485,27
1486,28
1487,24
1488,25
1489,25
1490,26
1491,25
1492,23
1493,20
1494,19
1495,20
1496,20
1497,21
1498,21
1499,23
1500,24
1501,28
1502,37
1503,41
1504,45
1505,45
1506,43
1507,41
