Id,PSCV.1,MPS.1,PSSD.1,ED.1,MPFD.1,LPI.1,PD.1,MNN.1,PLAND.1,PSCV.2,MPS.2,PSSD.2,ED.2,MPFD.2,LPI.2,PD.2,MNN.2,PLAND.2,PSCV.3,MPS.3,PSSD.3,ED.3,MPFD.3,LPI.3,PD.3,MNN.3,PLAND.3,PSCV.4,MPS.4,PSSD.4,ED.4,MPFD.4,LPI.4,PD.4,MNN.4,PLAND.4,PSCV.5,MPS.5,PSSD.5,ED.5,MPFD.5,LPI.5,PD.5,MNN.5,PLAND.5,PSCV.All,MPS.All,PSSD.All,ED.All,MPFD.All,LPI.All,PD.All,MNN.All,SDI
1,5791.5442,490.2404,28392.4879,2.3216,1.0434,4.4316,0.0163,1076.9883,7.9977,3347.0495,221.6343,7418.2083,0.9799,1.0418,0.8205,0.0136,1264.2148,3.007,12235.3513,1206.4646,147615.1814,6.2024,1.0443,30.6582,0.0286,813.6142,34.4829,8228.8307,525.06,43206.2994,3.8684,1.0449,9.2096,0.031,949.7155,16.2647,2617.1386,36783.6166,962678.2223,0.0732,1.0289,38.1627,0.001,5322.5298,38.2477,12253.6634,1105.2226,135430.2592,6.7228,1.0438,38.1627,0.0905,1027.0817,1.3375
2,6816.9309,507.0618,34566.0504,3.0051,1.0433,6.0993,0.0208,1051.33,10.5487,3284.1532,184.374,6055.1242,1.3973,1.0424,0.8205,0.0204,1194.8266,3.7627,13005.1125,1245.2306,161943.6466,6.8804,1.044,35.3699,0.0316,808.0451,39.3588,7822.8944,478.4573,37429.2115,3.7293,1.0445,8.0718,0.0319,994.4378,15.2803,2943.7753,23540.2246,692971.3174,0.086,1.0291,30.9352,0.0013,4819.4627,31.0495,12753.5314,942.7287,120231.2041,7.5491,1.0435,35.3699,0.1061,1036.1715,1.3779
3,7594.4459,497.0157,37745.5852,3.6442,1.0434,7.3727,0.0255,1028.2741,12.6507,2989.3643,170.032,5082.8755,2.0248,1.0436,0.8205,0.0291,1112.152,4.956,13561.7355,1209.5652,164038.0316,7.5315,1.0439,37.6374,0.0349,800.6156,42.1926,7507.9151,462.3912,34715.939,3.5141,1.0441,7.3544,0.0308,1029.5801,14.2431,3310.61,15467.7126,512075.6388,0.1023,1.0288,25.782,0.0017,4724.9968,25.9575,13313.1845,819.9081,109155.8846,8.4085,1.0436,37.6374,0.122,1034.4032,1.4022
4,8154.5433,473.3196,38597.0493,4.1754,1.0441,8.2061,0.0301,993.5677,14.2705,2137.3643,188.2543,4023.6804,2.9354,1.0448,0.655,0.0362,1032.7371,6.8219,13934.5091,1044.2435,145510.2087,8.0152,1.0444,35.4402,0.0393,797.0047,41.048,6942.9793,495.2134,34382.5643,3.1211,1.0439,6.6734,0.0266,1068.27,13.1511,3623.0114,12264.0409,444327.6001,0.1028,1.0283,24.5098,0.002,4767.1598,24.7085,13248.3611,744.7821,98671.4194,9.1749,1.0441,35.4402,0.1343,1017.9913,1.4387
5,7803.4034,429.9344,33549.5134,4.116,1.0442,7.3142,0.0318,1001.3745,13.6638,1930.5183,200.8423,3877.2973,3.591,1.0456,0.6319,0.0401,983.9301,8.0458,13837.8362,1046.0582,144751.8157,8.0573,1.0448,34.9011,0.0385,776.1403,40.2952,5720.7444,420.4543,24053.1161,2.7524,1.0443,4.3564,0.0247,1075.2998,10.3714,3608.9527,13866.8257,500447.1804,0.0969,1.0276,27.4501,0.002,4740.3436,27.6238,13636.1949,729.8116,99518.5361,9.3068,1.0446,34.9011,0.137,1000.621,1.4314
6,7364.9888,399.618,29431.8221,4.2487,1.0447,6.6038,0.0339,987.8959,13.5404,2242.4432,218.4527,4898.6768,4.2364,1.046,0.7533,0.0435,956.9106,9.5069,13465.8986,1012.5786,136352.806,7.929,1.0462,32.6631,0.038,760.1332,38.5028,4055.7219,313.4495,12712.6394,2.1918,1.0441,1.7394,0.0219,1104.2802,6.8619,3638.262,15620.1087,568300.4815,0.1011,1.0273,31.407,0.002,4603.997,31.5879,13939.4523,717.6627,100038.2527,9.3535,1.0452,32.6631,0.1393,986.8303,1.4098
7,5503.2579,458.2607,25219.2655,2.4536,1.0435,4.14,0.0182,1096.9693,8.3523,3279.7951,209.4837,6870.6357,1.1481,1.0427,0.8205,0.0158,1230.1187,3.3173,12896.1179,1401.1138,180689.2863,6.9494,1.0442,38.75,0.0305,815.9749,42.6979,8584.8828,528.9452,45409.3225,4.3545,1.045,10.3747,0.0355,968.9651,18.787,2874.0083,21354.8325,613739.6479,0.0806,1.0292,26.7486,0.0013,5007.3236,26.8456,12549.7871,987.0629,123874.288,7.4931,1.0439,38.75,0.1013,1036.9041,1.3509
8,5689.1908,452.8408,25762.9762,3.2962,1.0436,4.8264,0.0244,1051.0484,11.0322,3010.9847,187.4229,5643.2738,1.7337,1.0432,0.8205,0.0241,1162.3174,4.5162,13644.5777,1412.7933,192769.6835,7.8161,1.0438,43.7053,0.0341,807.3332,48.1197,8321.6228,493.6342,41078.374,4.1719,1.0443,9.3742,0.0356,1021.5071,17.5887,3193.6167,11965.0208,382116.9033,0.0948,1.0288,18.5883,0.0016,4872.8926,18.7432,13717.0221,835.3085,114579.4507,8.5564,1.0436,43.7053,0.1197,1045.3231,1.3546
9,7521.8372,438.8912,33012.6798,4.0234,1.044,7.0222,0.0303,1028.6047,13.2987,2657.008,180.5315,4796.7365,2.5874,1.0441,0.8205,0.0347,1081.1467,6.256,14395.422,1345.923,193751.2974,8.582,1.0437,46.5317,0.0382,798.3188,51.4381,7877.7041,477.7726,37637.5081,3.8836,1.0442,8.2965,0.0335,1063.6235,16.0177,3116.2605,6708.6702,209059.638,0.1093,1.0288,11.1927,0.0019,4619.5491,12.9896,14896.7144,721.3267,107453.9845,9.5929,1.0438,46.5317,0.1386,1036.8762,1.3421
10,7852.9508,413.0431,32436.0741,4.3748,1.0445,7.356,0.0344,1006.1784,14.2197,1788.0658,184.2243,3294.0522,3.5388,1.0452,0.5771,0.0429,1012.834,7.9111,14632.6189,1255.2108,183670.2153,9.0156,1.0442,45.4165,0.0405,785.6629,50.8544,7310.3913,480.6006,35133.7855,3.4268,1.0439,7.2386,0.0297,1095.0422,14.2586,3759.3959,5773.6044,217052.6447,0.1041,1.0277,12.5377,0.0022,4689.8308,12.7562,15207.469,667.7266,101544.316,10.2301,1.0443,45.4165,0.1498,1020.3796,1.3623
