Id,MAT,TDR,TSN,MTWM,MTCM,TAR,MTWQ,MTDQ,MTAQ,MTCQ,MAP,PWM,PDM,PSN,PWQ,PDQ,PAQ,PCQ,AET,PET,NPP,ME,RE,CVE
450,7.7028799,13.0254002,1124.849976,28.1821003,-15.4617996,43.6439018,19.4423008,-6.7971001,20.9267006,-6.8364201,197.7420044,55.1860008,0.938017,99.8538971,123.9069977,4.4875998,118.2809982,4.4875998,175.5579987,1066.189941,162,1237,1210,13.53
451,7.7670298,14.0471001,1159.98999,29.4080009,-16.4200001,45.8280983,19.8281002,-7.2136202,21.4589996,-7.2136202,261.6029968,75.4008026,1.90289,101.7839966,165.3179932,7.62397,155.9519958,7.62397,238.9349976,1017.429993,139,1363,413,5.53
452,7.4637098,14.0373001,1164.459961,28.9004002,-17.3621998,46.2625999,19.4435005,-7.6730299,21.1091995,-7.6730299,356.9190063,96.3697968,2.55372,103.7129974,230.0659943,9.7024803,217.4149933,9.7024803,290.572998,988.1849976,157,1326,443,4.42
453,7.6564002,13.8817997,1171.48999,29.0098991,-17.0860004,46.0959015,19.5223007,-7.64186,21.3136005,-7.64186,402.1549988,104.6740036,2.1942101,105.1750031,261.6260071,8.7231398,246.9689941,8.7231398,372.3200073,959.6859741,189,1218,554,6.95
454,7.29461,13.5414,1169.349976,28.3257008,-16.9951,45.3209,18.9829006,-8.0648203,20.8595009,-8.0648203,453.394989,117.1429977,2.5743799,105.1169968,294.32901,10.3864002,277.9830017,10.3864002,402.9240112,942.6710205,287,1195,1456,20.28
455,4.5688701,13.8127003,1099.729981,24.5720005,-18.9283009,43.5003014,16.2642002,-9.7470503,17.4139996,-9.7470503,471.2869873,123.9710007,2.96281,107.4339981,304.9379883,11.8554001,301.348999,11.8554001,409.9460144,817.2459717,354,1573,1958,19.84
456,7.1623998,13.4588003,1087.420044,26.6954994,-15.9421997,42.6377983,19.0298996,-6.9433398,19.8493996,-6.9433398,430.5230103,118.2850037,1.7624,110.3170013,282.2290039,8.5413198,281.0929871,8.5413198,390.8559875,923.0020142,312,1199,2673,33.49
457,7.4344301,12.6863003,1067.160034,26.3218994,-14.7786999,41.1004982,19.6392994,-6.4208498,19.9281006,-6.4208498,460.5119934,133.3390045,1.71694,111.9280014,303.9750061,9.8491697,303.5,9.8491697,434.2539978,995.382019,246,464,2144,90.28
458,12.9028997,11.7217999,1112.5,31.6455002,-9.5385504,41.1841011,25.9265995,-1.45649,25.9265995,-1.45649,480.0350037,162.4440002,2.6632199,134.5180054,361.6380005,10.2748003,361.6380005,10.2748003,398.7969971,1052.369995,212,49,756,136.26
459,12.9116001,14.8415003,1150.829956,34.5615005,-11.2340002,45.7955017,25.5723991,4.4197602,25.7542992,-2.49489,46.0847015,9.2871904,0.592975,61.1887016,21.0846996,2.6466899,21.0681992,3.91116,33.1459999,1068.979981,86,1286,1571,15.38
460,12.8179998,15.2491999,1190.449951,34.9553986,-12.2130003,47.168499,25.8519993,3.8728399,26.0263004,-3.11991,37.8181992,7.51653,0.13843,62.2229996,19.0310001,2.1343,19.0247993,3.25207,37.3861008,1096.349976,8,1184,135,2.24
461,12.6353998,15.6359997,1233.459961,35.3188019,-13.2677002,48.5864983,26.2399006,3.8577001,26.2481995,-3.90748,33.1487999,6.6818199,0,67.9251022,18.9482994,1.99793,18.9482994,2.99793,30.3936005,1104.599976,0,1183,295,2.63
462,12.3542995,16.0468998,1251.939941,35.1363983,-14.1798,49.3162003,25.9946995,2.8627901,26.1011009,-4.4457998,32.6612015,7.1652899,0,71.0056,19.5226994,1.72727,19.5226994,2.7293401,30.0921993,1106.380005,0,1169,350,3.53
463,12.2356997,17.4379997,1277.51001,35.5825996,-15.665,51.2476006,25.1226006,-1.97014,26.3561001,-4.9134302,31.1240005,9.0743799,0,90.7779999,21.9029007,0.0206612,21.5723,0.582645,31.2283993,1148.349976,0,1125,110,1.93
464,12.1071997,17.7490997,1301.099976,35.7244987,-16.3048992,52.0293999,25.5224991,0.247859,26.6207008,-5.4323301,30.6735992,10.0310001,0,95.2003021,22.3139992,0.018595,22.1735992,0.758264,31.1042995,1195.829956,0,1111,148,2.67
465,11.8174,17.7308006,1329.52002,35.6842995,-16.9584999,52.6427994,26.0604992,2.43591,26.7423992,-6.1695499,28.7210999,10.5495996,0,99.8868027,21.8057995,0,21.8057995,1.29132,29.2726002,1233.439941,0,1107,179,3.18
466,11.5677996,17.3185005,1310.630005,35.3734016,-16.3827,51.7560997,26.2124004,2.98034,26.3055,-6.0476298,29.4731007,11.0805998,0,101.7649994,22.6632004,0,22.6632004,1.61364,29.2915993,1236.599976,0,1076,247,4.38
467,11.3829002,16.9060993,1275.930054,35.0447998,-15.4840002,50.528801,25.7521992,2.5173399,25.7521992,-5.5927701,31.9132004,11.9317999,0,103.7389984,24.6756001,0.0020661,24.6756001,1.46281,30.3605995,1230.599976,0,1046,265,4.71
