Id,MAT,TDR,TSN,MTWM,MTCM,TAR,MTWQ,MTDQ,MTAQ,MTCQ,MAP,PWM,PDM,PSN,PWQ,PDQ,PAQ,PCQ,AET,PET,NPP,ME,RE,CVE
2509,5.2722301,14.9841995,1172.390015,27.4972992,-18.8789997,46.3763008,19.1053009,-7.1374402,19.1053009,-9.7076797,72.685997,20.1074009,1.05785,87.0155029,45.8264008,3.75207,45.8264008,3.75207,63.6912003,1102.209961,241,1699,1156,13.13
2510,4.0548801,14.8227997,1164.869995,26.1315994,-19.8624992,45.9939995,17.8719997,-8.1210403,17.8719997,-10.7536001,82.1652985,23.4627991,1.06612,92.3163986,53.2727013,3.7272699,53.2727013,3.7272699,75.5727005,977.3499756,250,2027,1017,7.08
2511,3.1926799,14.5911999,1156.329956,25.1860008,-20.2733002,45.459301,17.0358009,-9.0764704,17.0358009,-11.368,88.3554001,25.7273006,1.01653,96.3684006,58.6941986,3.65289,58.6941986,3.65289,80.1350021,920.0189819,279,2061,456,4.33
2512,4.59551,14.6883001,1154.979981,26.8096008,-18.6541004,45.4636993,18.6196995,-9.0698795,18.6196995,-9.7849102,78.6280975,23.2397003,1,95.2603989,52.4627991,3.0661199,52.4627991,3.0661199,74.5565033,1000.210022,295,1809,338,3.69
2513,5.5257301,14.2833996,1186.849976,27.9726009,-17.9344997,45.9070015,19.8449001,-7.7308998,19.8449001,-9.3848305,72.1983032,20.5785007,1.1404999,89.3307037,46.6445999,3.80165,46.6445999,3.80165,61.7440987,1083.319946,322,1570,435,5.77
2514,3.9646599,13.6430998,1296.650024,27.0527,-21.6872997,48.7400017,18.3871994,-12.7798004,19.2294998,-12.7798004,243.0579987,69.892601,1.79339,111.2129974,161.826004,7.24793,161.2640076,7.24793,214.5359955,993.2009888,318,1331,437,8.51
2515,3.53496,13.1517,1317.459961,26.2133999,-22.1492004,48.3625984,18.9332008,-13.6329002,18.9332008,-13.6329002,222.7109985,71.7602997,1.03306,116.6640015,152.8099976,5.1900802,152.8099976,5.1900802,206.0090027,969.7550049,312,1383,411,5.52
2516,3.0504799,13.0348997,1278.189941,25.4804001,-21.6455002,47.1259003,18.1100006,-13.4417,18.1100006,-13.4417,252.7019958,76.1652985,1.52066,112.3659973,170.4960022,6.67769,170.4960022,6.67769,226.7050018,962.2039795,308,1498,447,4.95
2517,3.9242799,13.1113997,1255.52002,26.2117996,-20.5930004,46.8047981,18.7537003,-12.0123997,18.7537003,-12.2191,261.9830017,75.0908966,1.42149,110.572998,176.0579987,6.5124002,176.0579987,6.5124002,232.4730072,972.0020142,294,1397,422,5.8
2518,3.4693201,12.6497002,1245.910034,25.4335995,-20.6117001,46.0452995,18.1376991,-12.3219004,18.1376991,-12.5634003,282.4379883,75.7273026,1.87603,108.4499969,188.727005,7.7107401,188.727005,7.7107401,250.345993,943.0859985,379,1479,434,5.46
