Id,PSCV.1,MPS.1,PSSD.1,ED.1,MPFD.1,LPI.1,PD.1,MNN.1,PLAND.1,PSCV.2,MPS.2,PSSD.2,ED.2,MPFD.2,LPI.2,PD.2,MNN.2,PLAND.2,PSCV.3,MPS.3,PSSD.3,ED.3,MPFD.3,LPI.3,PD.3,MNN.3,PLAND.3,PSCV.4,MPS.4,PSSD.4,ED.4,MPFD.4,LPI.4,PD.4,MNN.4,PLAND.4,PSCV.5,MPS.5,PSSD.5,ED.5,MPFD.5,LPI.5,PD.5,MNN.5,PLAND.5,PSCV.All,MPS.All,PSSD.All,ED.All,MPFD.All,LPI.All,PD.All,MNN.All,SDI
1,2389.8602,234.4363,5602.7008,2.6944,1.0253,1.7397,0.0316,1346.3743,7.4008,2874.1547,244.0338,7013.9092,2.0327,1.0229,2.246,0.0309,1606.0936,7.5317,7492.461,1302.8522,97615.6954,6.8284,1.0234,42.0314,0.0382,1197.4528,49.7058,5417.5289,1163.3762,63026.2394,3.6272,1.0234,20.9371,0.0228,1488.695,26.4939,434.1371,56997.1127,247445.588,0.0719,1.0372,6.8435,0.0002,22952.24,8.8677,7591.1859,809.6349,61460.8899,7.6273,1.0238,42.0314,0.1235,1418.7302,1.3017
2,2747.0996,238.2175,6544.0707,2.3842,1.0257,2.3506,0.0282,1403.9618,6.7233,2284.047,220.9456,5046.5014,1.6528,1.0218,1.3075,0.0264,1776.4203,5.8234,7211.5505,1866.8861,134631.435,6.6504,1.023,53.1917,0.0321,1183.8947,59.9514,5223.5461,935.4107,48861.6112,3.6453,1.0243,17.0987,0.0253,1496.5185,23.6764,521.6347,27132.2517,141531.2458,0.0344,1.0399,3.773,0.0001,26600.8399,3.8255,8520.4289,891.7005,75976.7115,7.1835,1.0237,53.1917,0.1121,1481.0499,1.1198
3,3325.5495,301.9257,10040.6896,1.9053,1.026,3.1279,0.0201,1525.86,6.0699,1108.9882,116.6035,1293.1186,0.8663,1.0183,0.3491,0.0177,2184.2828,2.0681,6446.0326,2806.4245,180903.0372,5.5103,1.0237,61.541,0.0238,1156.0763,66.8042,5131.2837,777.99,39920.875,3.2126,1.0242,13.6778,0.0242,1503.8546,18.8521,467.3188,55494.6126,259336.7461,0.0313,1.0312,6.1838,0.0001,27469.974,6.2057,8436.0395,1162.9518,98107.0695,5.7629,1.0233,61.541,0.086,1586.8407,1.0068
4,4225.5084,386.4387,16328.9985,2.2769,1.0248,5.3235,0.0219,1568.987,8.4754,243.521,59.6046,145.1497,0.5422,1.015,0.0219,0.0156,2463.038,0.932,6100.1266,3544.5406,216221.4655,5.0161,1.024,67.4753,0.02,1124.0516,70.984,3193.52,538.2385,17188.7553,2.6353,1.0249,5.2663,0.0222,1519.7332,11.9617,527.0824,54234.4966,285860.4789,0.0351,1.0294,7.618,0.0001,18168.1834,7.6468,8764.7554,1250.6363,109615.2134,5.2528,1.0227,67.4753,0.08,1647.9616,0.9466
5,5420.4696,433.1575,23479.1686,2.8193,1.0226,8.593,0.0276,1552.5077,11.9514,267.0428,60.6562,161.9781,0.6666,1.0151,0.0225,0.019,2322.1817,1.1501,5958.0713,3932.9466,234327.7622,4.4028,1.0233,69.9064,0.0183,1134.9247,71.9741,1815.5288,288.4315,5236.5573,1.5397,1.0254,1.4353,0.0179,1652.3867,5.1522,727.0836,35891.5829,260961.7987,0.0662,1.0409,9.5836,0.0003,8482.0197,9.7721,9288.5157,1204.9894,111925.6336,4.7473,1.0217,69.9064,0.083,1680.5149,0.922
6,6654.5356,430.5017,28647.892,3.6229,1.0222,12.1466,0.037,1474.6512,15.9178,234.3334,62.556,146.5895,0.8812,1.0161,0.0225,0.0246,2111.2743,1.5362,6344.7576,3280.8205,208160.1093,4.0519,1.0236,66.5119,0.021,1157.0585,68.8769,605.909,133.1404,806.7095,0.4635,1.0215,0.1268,0.0087,2240.5093,1.1581,756.0924,42887.6259,324270.0926,0.07,1.0389,12.3181,0.0003,9300.2408,12.511,9428.4255,1092.7039,103024.77,4.5448,1.0208,66.5119,0.0915,1670.3625,0.9252
7,673.851,113.9097,767.5819,0.9807,1.0228,0.1583,0.0182,1566.2638,2.0752,2622.8533,192.9537,5060.8933,1.3749,1.0232,1.7018,0.0234,1752.5027,4.519,6964.4781,1602.8884,111632.8141,6.1119,1.0228,43.1644,0.0308,1301.6919,49.2916,6213.7681,1487.6129,92436.8179,4.4403,1.0252,33.4661,0.027,1346.2712,40.1558,385.6912,50886.9173,196266.3494,0.0215,1.0329,3.9431,0.0001,44595.0674,3.9585,7838.2819,1005.4243,78807.9911,6.4646,1.0235,43.1644,0.0995,1502.2641,1.0633
8,644.2984,114.7852,739.5592,0.7028,1.0228,0.1212,0.0132,1805.9802,1.5113,353.9799,117.1579,414.7155,0.9512,1.0223,0.0584,0.0184,1984.4123,2.156,6697.569,2383.7081,159650.4967,5.7113,1.0224,56.7307,0.026,1289.7604,61.8991,5909.9941,1115.7268,65939.3857,4.3941,1.0248,25.4474,0.0309,1393.3727,34.4244,129.6842,118.5363,153.7228,0.0037,1.0231,0.0027,0.0001,52485.2529,0.0092,8392.2308,1130.3564,94862.1174,5.8816,1.0233,56.7307,0.0885,1592.2352,0.8109
9,632.1757,128.6614,813.3663,0.6293,1.0227,0.1212,0.011,2074.8093,1.4212,386.5969,92.0043,355.686,0.5585,1.0175,0.0579,0.013,2524.8105,1.1926,6298.9304,3269.305,205931.2468,4.7516,1.0229,67.3342,0.022,1238.1317,71.8778,5758.8518,938.0837,54022.8493,3.7511,1.0243,19.6083,0.0272,1488.7959,25.4954,127.0827,148.7514,189.0372,0.0046,1.0219,0.003,0.0001,46846.9197,0.013,8609.5756,1365.0096,117521.5351,4.8476,1.0224,67.3342,0.0733,1739.4184,0.7002
10,596.8851,127.0488,758.3355,1.0304,1.0215,0.1208,0.0184,1811.1697,2.3417,227.9348,60.3561,137.5726,0.3805,1.0136,0.0131,0.0112,2933.6375,0.6735,5271.5535,5500.278,289950.0952,4.3536,1.0238,77.4951,0.0147,1145.5326,80.7875,4766.2869,665.8126,31734.5395,3.093,1.0244,10.8292,0.0242,1537.514,16.1112,219.5425,478.8186,1051.2103,0.0182,1.0357,0.0277,0.0002,8384.3398,0.0861,9299.0585,1456.5516,135445.5837,4.4378,1.0218,77.4951,0.0687,1771.9654,0.5942
11,1875.3902,179.267,3361.9556,2.0366,1.0221,1.0706,0.0322,1612.5652,5.7681,334.9243,66.1929,221.6961,0.5304,1.0146,0.0422,0.0147,2688.117,0.9732,4077.2536,10469.2607,426858.3032,4.0465,1.0226,85.7707,0.0083,1092.8541,86.8877,2028.2971,301.8305,6122.0185,1.7293,1.0246,1.611,0.0205,1690.8587,6.184,308.6816,915.8835,2827.1636,0.0339,1.0449,0.0852,0.0002,10663.5409,0.187,10718.052,1318.0368,141267.8731,4.1884,1.0215,85.7707,0.0759,1809.6425,0.5156
12,5689.7424,254.3474,14471.7115,3.211,1.0212,6.7393,0.0447,1513.7742,11.3744,297.8191,64.3815,191.7404,0.8214,1.0152,0.0422,0.023,2274.4106,1.4834,4971.2263,6868.092,341428.3903,4.1444,1.0235,83.9742,0.0124,1117.9458,85.4172,388.4364,123.3385,479.0915,0.6445,1.0217,0.0565,0.0124,2101.9594,1.5249,346.2226,697.3666,2414.4411,0.0386,1.0399,0.0852,0.0003,11831.3056,0.2,11641.5812,1077.026,125382.8517,4.43,1.0201,83.9742,0.0928,1759.709,0.5206
13,6798.0171,292.8752,19909.7092,4.8814,1.0229,11.0407,0.0634,1355.335,18.5653,811.9714,83.0157,674.0634,1.6482,1.0179,0.2806,0.0392,1832.4212,3.2556,6458.0441,3499.0637,225971.0743,5.3948,1.023,73.2979,0.0216,1165.0096,75.7043,458.7423,94.524,433.6217,0.2255,1.0173,0.0565,0.0055,2749.4509,0.5212,699.5419,6481.1216,45338.1607,0.0543,1.0407,1.7508,0.0003,10423.9325,1.9537,12126.8863,768.8959,93243.129,6.1021,1.0212,73.2979,0.1301,1547.6494,0.7391
14,7277.3704,291.1837,21190.5166,5.8425,1.0241,12.6591,0.0735,1273.3569,21.407,704.9606,86.9869,613.2237,2.2516,1.0196,0.2806,0.0509,1603.5402,4.4267,6994.694,2425.4049,169649.6522,6.2344,1.0232,60.511,0.0262,1158.2317,63.4536,535.9408,95.6758,512.7655,0.1217,1.0174,0.0565,0.0031,3531.882,0.2972,803.1043,31503.5735,253006.56,0.0658,1.0393,10.2216,0.0003,6988.826,10.4154,11152.3055,649.3233,72414.5178,7.258,1.0224,60.511,0.154,1420.7363,1.0095
