Id,PSCV.1,MPS.1,PSSD.1,ED.1,MPFD.1,LPI.1,PD.1,MNN.1,PLAND.1,PSCV.2,MPS.2,PSSD.2,ED.2,MPFD.2,LPI.2,PD.2,MNN.2,PLAND.2,PSCV.3,MPS.3,PSSD.3,ED.3,MPFD.3,LPI.3,PD.3,MNN.3,PLAND.3,PSCV.4,MPS.4,PSSD.4,ED.4,MPFD.4,LPI.4,PD.4,MNN.4,PLAND.4,PSCV.5,MPS.5,PSSD.5,ED.5,MPFD.5,LPI.5,PD.5,MNN.5,PLAND.5,PSCV.All,MPS.All,PSSD.All,ED.All,MPFD.All,LPI.All,PD.All,MNN.All,SDI
1,690.4254,184.4458,1273.4607,8.2649,1.047,0.562,0.0953,889.1538,17.5702,3630.539,3813.0542,138434.4184,11.5286,1.0392,71.6497,0.0191,709.1441,72.8595,524.0818,84.558,443.153,4.6922,1.0419,0.2675,0.0885,1062.4643,7.4793,409.4969,297.9079,1219.9236,0.2805,1.0213,0.2049,0.0038,4529.954,1.131,453.049,66.088,299.4112,0.6519,1.0374,0.1251,0.0145,1847.4747,0.9601,9003.9405,452.1983,40715.6686,12.7091,1.0432,71.6497,0.2211,1068.375,0.8255
2,3457.2141,348.729,12056.3088,8.6871,1.0462,12.9116,0.0833,882.5531,29.0428,4344.6049,2004.681,87095.4694,10.0501,1.0416,57.5194,0.0312,821.9032,62.4567,984.6773,73.2171,720.952,4.0416,1.0403,0.7574,0.0872,1100.935,6.3859,404.4386,303.2667,1226.5277,0.2857,1.0204,0.2049,0.0039,4664.1544,1.1768,412.5033,82.4431,340.0806,0.6032,1.0418,0.1251,0.0114,2189.25,0.9378,7343.0296,461.018,33852.689,11.8338,1.0425,57.5194,0.2169,1097.827,0.9248
3,3230.2375,588.0424,18995.167,8.9088,1.0452,17.4312,0.0636,874.1638,37.4075,4297.4376,1084.6669,46612.8838,9.1813,1.045,37.743,0.0488,841.283,52.9691,795.9059,77.1998,614.4376,4.8172,1.041,0.6713,0.0992,1043.9081,7.6611,334.5555,282.3763,944.7052,0.2475,1.0238,0.1914,0.0033,5220.9152,0.9375,423.5625,88.6629,375.5429,0.5974,1.0397,0.0882,0.0116,2250.3044,1.0247,5409.0341,441.3778,23874.2746,11.8761,1.0427,37.743,0.2266,1075.3226,0.992
4,2788.1435,805.9357,22470.6438,10.5152,1.0449,16.8034,0.0616,811.6328,49.6202,2610.2218,526.5277,13743.5403,9.7591,1.0453,9.795,0.0721,849.6896,37.9421,777.7476,98.4712,765.8571,6.578,1.0444,0.7574,0.113,964.4865,11.1281,192.6365,249.2081,480.0658,0.1928,1.0223,0.0583,0.0027,5734.0836,0.6738,477.5669,99.9845,477.4931,0.3539,1.0411,0.1219,0.0064,3003.826,0.6359,3384.1892,391.0811,13234.9236,13.6995,1.0444,16.8034,0.2557,996.4859,1.0256
5,1488.9181,294.0632,4378.3602,11.135,1.0464,4.3233,0.1015,809.676,29.8619,5473.3115,813.5457,44527.8895,12.1446,1.0437,41.9424,0.0634,760.6947,51.5931,295.8561,118.9511,351.924,10.8965,1.0527,0.2299,0.1503,811.2656,17.8783,136.861,246.4205,337.2536,0.0461,1.021,0.0237,0.0007,16340.8177,0.1657,937.2015,209.1417,1960.0791,0.1026,1.0293,0.3606,0.0024,5345.5421,0.501,6376.744,314.135,20031.5823,17.1624,1.0487,41.9424,0.3183,867.6079,1.0473
6,2009.5354,298.3133,5994.712,10.0579,1.0459,6.5676,0.0938,851.3155,27.9742,5091.7934,989.0317,50359.4529,11.9046,1.0439,44.4182,0.0557,754.2707,55.1155,276.3686,103.8158,286.9142,9.5301,1.0511,0.2163,0.1458,848.8808,15.1352,502.4879,351.5256,1766.3733,0.1263,1.0212,0.2728,0.0017,7536.0404,0.5909,806.7077,271.8047,2192.6699,0.2114,1.0279,0.4333,0.0044,4610.1014,1.1842,6604.7228,331.8644,21918.7227,15.9152,1.0476,44.4182,0.3013,923.8291,1.0533
7,1074.4314,204.464,2196.8251,8.0795,1.0465,1.9699,0.0952,888.1554,19.4714,4620.1161,2078.4113,96025.014,10.6401,1.0431,65.2243,0.0329,728.7176,68.4224,261.2974,93.959,245.5124,7.1491,1.0481,0.1411,0.1201,927.3632,11.2881,151.1649,208.761,315.5733,0.1194,1.017,0.0348,0.0019,7343.1912,0.4007,322.6644,74.4938,240.3651,0.2045,1.0263,0.0479,0.0056,3795.5899,0.4174,8820.4535,390.9097,34480.0124,13.0963,1.0462,65.2243,0.2558,998.1648,0.8695
8,1094.3358,172.7353,1890.3041,7.6383,1.0452,1.7187,0.1002,924.7801,17.304,3843.1165,3241.2495,124564.9939,10.5085,1.0394,69.187,0.022,731.2503,71.3325,361.0379,80.5524,290.8247,6.0048,1.0442,0.2339,0.1146,982.3894,9.2351,485.8075,309.2697,1502.4556,0.169,1.0206,0.2728,0.0024,5987.505,0.7279,815.9453,228.2464,1862.3654,0.3191,1.0318,0.4333,0.0061,3686.7151,1.4005,9160.6254,407.6292,37341.3857,12.3199,1.0437,69.187,0.2453,1051.9903,0.8601
9,921.3834,139.8103,1288.1893,7.0607,1.0433,1.0697,0.097,996.9444,13.567,4174.6106,2597.5443,108437.3608,14.8394,1.0361,65.1083,0.0257,699.6015,66.8089,672.2662,154.6727,1039.8126,10.3277,1.0481,0.6984,0.1244,854.1542,19.2431,164.527,303.5101,499.3559,0.0355,1.0257,0.0333,0.0004,21527.001,0.1361,397.6723,69.937,278.12,0.1538,1.0355,0.0411,0.0035,2906.7302,0.2449,8721.0288,398.215,34728.4486,16.2086,1.0448,65.1083,0.2511,959.0311,0.8813
10,1747.6014,215.6226,3768.2241,9.4738,1.0451,4.0171,0.1031,896.8418,22.2407,4576.0505,1976.9229,90464.9906,14.0464,1.0387,60.5532,0.032,731.9492,63.1981,794.1511,125.8716,999.6111,7.7805,1.0453,0.6984,0.1122,932.1952,14.117,145.5325,312.4717,454.748,0.0565,1.0222,0.0333,0.0007,12631.9484,0.2232,336.5501,45.1889,152.0832,0.1642,1.0328,0.0376,0.0049,2595.5501,0.2209,8159.5989,395.4575,32267.7438,15.7607,1.0441,60.5532,0.2529,957.6747,0.9279
