Id,PSCV.1,MPS.1,PSSD.1,ED.1,MPFD.1,LPI.1,PD.1,MNN.1,PLAND.1,PSCV.2,MPS.2,PSSD.2,ED.2,MPFD.2,LPI.2,PD.2,MNN.2,PLAND.2,PSCV.3,MPS.3,PSSD.3,ED.3,MPFD.3,LPI.3,PD.3,MNN.3,PLAND.3,PSCV.4,MPS.4,PSSD.4,ED.4,MPFD.4,LPI.4,PD.4,MNN.4,PLAND.4,PSCV.5,MPS.5,PSSD.5,ED.5,MPFD.5,LPI.5,PD.5,MNN.5,PLAND.5,PSCV.All,MPS.All,PSSD.All,ED.All,MPFD.All,LPI.All,PD.All,MNN.All,SDI
1,11793.5662,1597.0094,188344.3639,6.816,1.0229,42.2963,0.0338,1155.5108,54.0449,6399.6518,633.8368,40563.3484,6.7516,1.026,8.8034,0.0494,1222.5889,31.3403,67.8137,31.7404,21.5244,0.7534,1.0067,0.0006,0.0318,2267.4792,1.0098,559.2923,249.1054,1393.2275,0.1266,1.0186,0.0541,0.0023,3794.6394,0.5737,2648.7354,12010.123,318116.3747,0.1545,1.0254,12.8817,0.0011,4109.242,13.0314,12841.8489,843.9698,108381.3262,7.301,1.0198,42.2963,0.1185,1560.3998,1.0378
2,11847.9057,1697.2644,201090.2806,6.2111,1.0219,43.3576,0.0312,1181.9608,52.9221,5714.0284,626.5498,35801.2341,6.2159,1.0256,7.3607,0.0472,1239.0389,29.5617,61.2031,30.6758,18.7745,0.6872,1.0059,0.0005,0.0297,2323.9367,0.9119,1766.8258,358.3141,6330.7854,0.2168,1.0203,0.4353,0.0032,3039.5621,1.1561,2964.1192,11374.2436,337146.1421,0.1786,1.0225,15.2722,0.0014,3991.095,15.4483,12896.2451,887.5112,114455.6133,6.7548,1.0192,43.3576,0.1127,1594.2091,1.08
3,11482.1162,1682.344,193168.6898,5.7615,1.0219,41.1033,0.0304,1182.2028,51.129,6539.7169,661.3453,43250.1105,5.7499,1.0253,8.6572,0.0422,1267.1669,27.8949,99.7069,30.9721,30.8813,0.6556,1.0059,0.0041,0.0283,2367.8757,0.8759,2603.6165,472.1462,12292.8763,0.2504,1.0203,0.8755,0.0034,2976.8168,1.5967,3100.4642,12473.3887,386732.9446,0.2048,1.0221,18.3074,0.0015,3874.3304,18.5035,12319.0497,945.9421,116531.0719,6.3111,1.0189,41.1033,0.1057,1628.4593,1.1189
4,11163.3067,1499.2319,167363.8554,5.3556,1.0219,36.3327,0.0318,1184.3544,47.65,6217.2779,813.5836,50582.7553,5.3705,1.0249,8.9559,0.0346,1286.2685,28.1196,101.0407,30.8808,31.2022,0.6317,1.0058,0.0041,0.0273,2363.2168,0.8431,2561.0525,483.0731,12371.7559,0.2504,1.0204,0.8755,0.0033,2914.9265,1.6133,3250.5426,13384.5708,435071.1799,0.1992,1.0225,21.567,0.0016,3785.1398,21.774,11267.58,1014.0501,114258.9074,5.9037,1.0185,36.3327,0.0986,1647.9643,1.1488
5,11599.4032,3056.6134,354548.91,5.7813,1.021,67.3236,0.0239,1118.0858,73.0468,8732.1736,572.5792,49998.6116,5.5848,1.0273,12.4881,0.0415,1321.7547,23.7568,360.7887,52.1765,188.2468,1.4365,1.013,0.0159,0.0447,1843.3632,2.3299,599.8885,269.8821,1618.9916,0.1646,1.0232,0.0584,0.0024,3576.9817,0.6508,543.9195,446.6771,2429.5635,0.0369,1.0279,0.0433,0.0005,7872.6733,0.2157,18735.1393,885.4477,165889.8541,6.5021,1.0202,67.3236,0.1129,1561.0615,0.7045
6,11718.5538,2650.0077,310542.575,6.6817,1.0216,62.0962,0.0265,1110.1216,70.3361,9834.1783,556.1173,54689.571,6.4708,1.0274,14.6743,0.0479,1275.7361,26.6112,296.1036,47.3231,140.1255,1.5437,1.0124,0.0156,0.0507,1799.1262,2.3986,508.5723,250.1478,1272.1823,0.1097,1.0212,0.0536,0.0018,4587.4972,0.4496,545.1736,470.5047,2565.0674,0.0331,1.0255,0.0433,0.0004,6614.2821,0.2045,18550.0607,785.4762,145706.3208,7.4194,1.0201,62.0962,0.1273,1514.5622,0.7262
7,12423.4834,2347.7722,291675.0916,7.4313,1.0221,60.9024,0.0289,1108.5509,67.8838,10457.8466,542.9491,56780.7829,7.2319,1.0276,16.1909,0.0541,1236.1923,29.3715,288.0492,44.1202,127.0879,1.5203,1.0115,0.0156,0.0522,1823.4778,2.3032,328.4088,254.2337,834.9258,0.0691,1.0185,0.018,0.0012,6116.5327,0.3073,542.0821,273.458,1482.3669,0.0325,1.0263,0.0341,0.0005,6108.5559,0.1341,18991.4948,730.3955,138713.0255,8.1425,1.0202,60.9024,0.1369,1493.7006,0.7363
8,12823.3695,2051.8737,263119.3458,7.9757,1.0223,57.5069,0.0317,1112.4701,65.0102,10251.4078,565.2489,57945.971,7.8339,1.0274,16.89,0.0569,1205.415,32.167,282.964,41.2789,116.8044,1.4446,1.0106,0.0156,0.0518,1862.9574,2.1363,532.1856,386.0688,2054.6027,0.0805,1.0194,0.054,0.0012,6178.7223,0.4562,591.8639,359.0526,2125.1028,0.0445,1.0252,0.0433,0.0006,4752.1979,0.2303,18412.499,703.3992,129513.3788,8.6896,1.02,57.5069,0.1422,1481.4016,0.7655
9,12867.5498,1437.6116,184985.3843,8.3796,1.0232,45.4375,0.0401,1126.8475,57.6627,9358.7335,673.9704,63075.0899,8.2971,1.0263,16.8413,0.0549,1189.1884,36.9902,235.4437,37.7402,88.857,1.1529,1.0092,0.0156,0.0437,2016.7007,1.6501,552.6224,342.0294,1890.1311,0.1089,1.0186,0.0541,0.0017,4857.1528,0.5962,2286.4206,3430.2751,78430.5176,0.1019,1.0252,2.899,0.0009,4899.6706,3.1008,15022.995,707.394,106271.7649,9.0201,1.0201,45.4375,0.1414,1496.3956,0.8913
10,13103.6633,1435.4484,188096.3231,8.0896,1.0234,46.0525,0.04,1132.0564,57.3593,8658.493,681.3181,58991.8784,7.9758,1.0261,14.7744,0.0534,1200.1011,36.3838,124.3451,35.0342,43.5633,1.0057,1.0083,0.0066,0.0398,2103.6916,1.3943,516.5316,310.2694,1602.6394,0.0984,1.0185,0.0541,0.0016,4982.51,0.5052,2374.2921,4828.4116,114640.595,0.1019,1.0242,4.2343,0.0009,4331.8585,4.3573,14787.4105,736.9753,108979.5604,8.6357,1.02,46.0525,0.1357,1511.3033,0.9095
